,country_or_area,year,value
350,Germany,1990,3749485.94610387
351,Germany,1991,3609657.7678673686
352,Germany,1992,3458700.9846251374
353,Germany,1993,3431024.7069173967
354,Germany,1994,3372772.598889271
355,Germany,1995,3362831.7144026686
356,Germany,1996,3416302.9743412817
357,Germany,1997,3312731.261074466
358,Germany,1998,3235930.5061327214
359,Germany,1999,3136259.1269779783
360,Germany,2000,3129883.3029488125
361,Germany,2001,3174210.3078817525
362,Germany,2002,3110827.315912113
363,Germany,2003,3101182.9676025333
364,Germany,2004,3051882.08881692
365,Germany,2005,2975546.0612445683
366,Germany,2006,2997131.701208072
367,Germany,2007,2915994.9786449717
368,Germany,2008,2921826.513975871
369,Germany,2009,2719269.0861768657
370,Germany,2010,2823116.073692196
371,Germany,2011,2765489.2305978118
372,Germany,2012,2779015.0849207826
373,Germany,2013,2835452.8439888875
374,Germany,2014,2705291.816407869
